,categories,latitude,longitude,locality,Neighborhood,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue
699,Train Station,49.266495,-123.115831,Vancouver,"East Fairview, South Cambie",3,ATM,Supermarket,Mall,Gas Station,Train Station
714,Train Station,49.249271,-123.115904,Vancouver,"East Fairview, South Cambie",3,ATM,Supermarket,Mall,Gas Station,Train Station
729,Gas Station,49.248944,-123.127066,Vancouver,"East Fairview, South Cambie",3,ATM,Supermarket,Mall,Gas Station,Train Station
744,Gas Station,49.234178,-123.127671,Vancouver,"East Fairview, South Cambie",3,ATM,Supermarket,Mall,Gas Station,Train Station
759,Supermarket,49.263957,-123.115209,Vancouver,"East Fairview, South Cambie",3,ATM,Supermarket,Mall,Gas Station,Train Station
774,Supermarket,49.254563,-123.109543,Vancouver,"East Fairview, South Cambie",3,ATM,Supermarket,Mall,Gas Station,Train Station
789,Supermarket,49.264636,-123.114375,Vancouver,"East Fairview, South Cambie",3,ATM,Supermarket,Mall,Gas Station,Train Station
804,Supermarket,49.254292,-123.115359,Vancouver,"East Fairview, South Cambie",3,ATM,Supermarket,Mall,Gas Station,Train Station
819,Supermarket,49.24848,-123.12654,Vancouver,"East Fairview, South Cambie",3,ATM,Supermarket,Mall,Gas Station,Train Station
834,Mall,49.232131,-123.118335,Vancouver,"East Fairview, South Cambie",3,ATM,Supermarket,Mall,Gas Station,Train Station
849,Mall,49.260894,-123.116489,Vancouver,"East Fairview, South Cambie",3,ATM,Supermarket,Mall,Gas Station,Train Station
864,Mall,49.248542,-123.125897,Vancouver,"East Fairview, South Cambie",3,ATM,Supermarket,Mall,Gas Station,Train Station
879,Mall,49.231543,-123.118204,Vancouver,"East Fairview, South Cambie",3,ATM,Supermarket,Mall,Gas Station,Train Station
1223,Gas Station,49.279037,-123.129717,Vancouver,"S E West End, Davie Village",3,Supermarket,ATM,Gas Station,Mall,Train Station
1238,Gas Station,49.276973,-123.131893,Vancouver,"S E West End, Davie Village",3,Supermarket,ATM,Gas Station,Mall,Train Station
1253,Supermarket,49.289192,-123.122635,Vancouver,"S E West End, Davie Village",3,Supermarket,ATM,Gas Station,Mall,Train Station
1268,Supermarket,49.286083,-123.124397,Vancouver,"S E West End, Davie Village",3,Supermarket,ATM,Gas Station,Mall,Train Station
1283,Supermarket,49.280669,-123.132047,Vancouver,"S E West End, Davie Village",3,Supermarket,ATM,Gas Station,Mall,Train Station
