,categories,latitude,longitude,locality,Neighborhood,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue
273,ATM,49.281311,-123.054863,Vancouver,North Hastings-Sunrise,1,ATM,Gas Station,Mall,Supermarket,Train Station
581,ATM,49.225319,-123.091002,Vancouver,"S E Oakridge, East Marpole, South Sunset",1,ATM,Gas Station,Mall,Supermarket,Train Station
