,categories,latitude,longitude,locality,Neighborhood,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue
472,Train Station,49.268634,-123.137588,Vancouver,"West Fairview, Granville Island, N E Shaughnessy",0,ATM,Gas Station,Train Station,Mall,Supermarket
487,Gas Station,49.248851,-123.128031,Vancouver,"West Fairview, Granville Island, N E Shaughnessy",0,ATM,Gas Station,Train Station,Mall,Supermarket
517,Gas Station,49.263733,-123.135709,Vancouver,"West Fairview, Granville Island, N E Shaughnessy",0,ATM,Gas Station,Train Station,Mall,Supermarket
532,Gas Station,49.249001,-123.127963,Vancouver,"West Fairview, Granville Island, N E Shaughnessy",0,ATM,Gas Station,Train Station,Mall,Supermarket
547,Train Station,49.261983,-123.144723,Vancouver,"N W Shaughnessy, East Kitsilano, Quilchena",0,Gas Station,Supermarket,ATM,Mall,Train Station
562,Gas Station,49.270034,-123.145899,Vancouver,"N W Shaughnessy, East Kitsilano, Quilchena",0,Gas Station,Supermarket,ATM,Mall,Train Station
577,Gas Station,49.267795,-123.145139,Vancouver,"N W Shaughnessy, East Kitsilano, Quilchena",0,Gas Station,Supermarket,ATM,Mall,Train Station
592,Gas Station,49.267733,-123.147567,Vancouver,"N W Shaughnessy, East Kitsilano, Quilchena",0,Gas Station,Supermarket,ATM,Mall,Train Station
607,Gas Station,49.268552,-123.145285,Vancouver,"N W Shaughnessy, East Kitsilano, Quilchena",0,Gas Station,Supermarket,ATM,Mall,Train Station
622,Gas Station,49.264068,-123.145307,Vancouver,"N W Shaughnessy, East Kitsilano, Quilchena",0,Gas Station,Supermarket,ATM,Mall,Train Station
637,Gas Station,49.264016,-123.145546,Vancouver,"N W Shaughnessy, East Kitsilano, Quilchena",0,Gas Station,Supermarket,ATM,Mall,Train Station
652,Supermarket,49.26362,-123.14357,Vancouver,"N W Shaughnessy, East Kitsilano, Quilchena",0,Gas Station,Supermarket,ATM,Mall,Train Station
667,Supermarket,49.267666,-123.142614,Vancouver,"N W Shaughnessy, East Kitsilano, Quilchena",0,Gas Station,Supermarket,ATM,Mall,Train Station
682,Mall,49.272665,-123.14734,Vancouver,"N W Shaughnessy, East Kitsilano, Quilchena",0,Gas Station,Supermarket,ATM,Mall,Train Station
920,Train Station,49.262604,-123.069913,Vancouver,"South Grandview-Woodland, N E Kensington-Cedar Cottage",0,Gas Station,Supermarket,ATM,Train Station,Mall
935,Train Station,49.262598,-123.068777,Vancouver,"South Grandview-Woodland, N E Kensington-Cedar Cottage",0,Gas Station,Supermarket,ATM,Train Station,Mall
950,Train Station,49.248292,-123.055886,Vancouver,"South Grandview-Woodland, N E Kensington-Cedar Cottage",0,Gas Station,Supermarket,ATM,Train Station,Mall
965,Gas Station,49.259874,-123.077875,Vancouver,"South Grandview-Woodland, N E Kensington-Cedar Cottage",0,Gas Station,Supermarket,ATM,Train Station,Mall
980,Gas Station,49.242293,-123.058299,Vancouver,"South Grandview-Woodland, N E Kensington-Cedar Cottage",0,Gas Station,Supermarket,ATM,Train Station,Mall
